subject_id,nodepos_spatialpos_norel,rt_spatialpos_norel,relations_spatialpos_rel,rt_spatialpos_rel,consc_confratings_spatialpos,clar_confratings_spatialpos,diff_confratings_spatialpos,conf_confratings_spatialpos,freeeval_spatialpos,attempts_spatialpos_rel
Q3uhntu7arr154uufp5whnp5fQ,"[[187, 312], [499, 85], [837, 402], [685, 514], [714, 208], [688, 788], [108, 494], [228, 675]]",194.657,"[[7, 6], [6, 0], [0, 1], [1, 4], [3, 2], [2, 5], [4, 3]]",115.631,Fully conscious/deliberative,Fully clear,Hard,Unconfident,I just tried to remember the flower connections from yesterday.,1
Qb8kcps9ofobn16pf2ixilskbQ,"[[639, 216], [429, 61], [657, 673], [603, 536], [355, 407], [423, 664], [313, 742], [232, 615]]",143.348,"[[6, 7], [7, 1], [7, 0], [4, 1], [6, 5], [5, 3], [6, 2]]",38.477,Fairly conscious/deliberative,Somewhat clear,Quite easy,Rather confident,I remembered mainly the hot-spots and used that to guide me in both tasks for the locations and routes.,1
Qkyb8s9olpmtq7u2rwwj5ec87Q,"[[150, 266], [183, 823], [385, 395], [508, 529], [275, 127], [660, 642], [518, 668], [652, 509]]",28.968,"[[4, 7], [5, 6], [3, 2], [0, 1], [5, 7], [6, 3], [2, 1], [0, 4]]",31.76,Fairly intuitive/unconscious,Somewhat clear,Quite hard,Rather unconfident,i didnt have a strategy but i tried to remember where they were,1
Qey5hnzukc0bp6a5u55gxbdadQ,"[[476, 274], [329, 84], [741, 649], [628, 620], [346, 416], [535, 730], [632, 784], [394, 768]]",153.948,"[[5, 6], [6, 7], [7, 1], [1, 4], [1, 7], [3, 5], [7, 0], [4, 1], [2, 6]]",211.227,Fully conscious/deliberative,Fully clear,Easy,Confident,"This task was easy, I connected the particular pairs of flowers that the bee used in its yesterday's task. ",1
Q3z17elg6xn5l0xwgak6825edQ,"[[147, 264], [49, 317], [182, 358], [304, 417], [94, 461], [380, 510], [240, 516], [152, 573]]",61.968,"[[1, 0], [0, 7], [7, 4], [4, 2], [2, 6], [6, 3], [3, 5]]",62.348,Fully conscious/deliberative,Fully clear,Easy,Confident,"I started with the flowers i remembered the bee flew to, then there are some flowers that could connect to any flower such as the yellow flower, I had to put them in the middle for easy connection.",1
Q1mkm11viqoktk5gj9hzrdcstQ,"[[244, 450], [643, 167], [322, 759], [556, 674], [539, 325], [670, 628], [486, 492], [82, 110]]",32.826,"[[3, 5], [2, 6], [7, 1], [5, 4], [1, 0], [0, 4], [2, 7]]",65.094,Fully conscious/deliberative,Somewhat unclear,Quite hard,Rather unconfident,Showing the previous movement of the bee briefly would help,1
Q4meg9r829ocabntv6kyypnk6Q,"[[626, 208], [561, 236], [488, 195], [205, 175], [530, 580], [608, 648], [201, 642], [154, 236]]",17.504,"[[1, 7], [2, 3], [4, 5], [6, 1], [0, 4], [2, 0], [1, 0]]",34.52,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,Again its a memory game though I did remember the flight path but not the flower colour.,1
Qbcga2qvv1sic3amq7v3953hfQ,"[[102, 174], [482, 52], [546, 364], [761, 157], [458, 675.0000038146973], [744, 455.00000381469727], [142, 691], [131, 459]]",60.433,"[[7, 0], [6, 3], [5, 3], [4, 1], [7, 2], [7, 6], [6, 5], [2, 4], [3, 7], [0, 1], [1, 5], [3, 1], [2, 5], [0, 2]]",67.172,Fully intuitive/unconscious,Fully unclear,Quite hard,Rather confident,again i just tried to imagine the first task and relied on memory to the best i could remember,1
Qtxqkyh0q83pg2f83jmcn3z1uQ,"[[282, 430], [789, 784], [371, 768], [413, 447], [627, 638], [493, 538], [49, 820], [104, 790]]",31.995,"[[7, 6], [0, 7], [3, 5], [5, 7], [1, 7], [4, 1], [2, 4]]",45.523,Fairly conscious/deliberative,Fully clear,Quite easy,Rather confident,"I felt confident about some pairings and could easily draw the line for them - pink and purple for example. I did struggle to recall the yellow and light blue flower pairs, and relied more intuition for those, but hopefully I remembered the pairings reasonably well!",1
Q37ags082twl5esx0j12xnfh1Q,"[[38, 449], [219, 434], [108, 442], [287, 429], [417, 429], [645, 434], [729, 423], [503, 422]]",88.901,"[[0, 2], [2, 1], [1, 3], [3, 4], [4, 7], [7, 5], [5, 6]]",115.071,Fairly conscious/deliberative,Somewhat unclear,Quite hard,Rather unconfident,I just srew a staright line demonstrating the way in which the bees can reach the flowers.,1
